N,alpha,M,conc_succ_prob,kappa_med,sigma_rel_med,sigma_abs_med,max_w_95per,pos_prob,nan_prob
4,1.0,6,0.047,1.0390677352548945,4.454790042191441,1.7918333275365463,19.82453519155561,0.278,0.0
4,1.375,8,0.066,0.7784173188748758,3.0303719650618373,1.07564883609336,8.55410617763564,0.404,0.0
4,1.75,10,0.121,0.7660593840382243,2.645261211424958,0.982772307811688,6.357514647944907,0.446,0.0
4,2.125,12,0.191,0.7654547869334338,2.4963859544465787,0.9281774950192401,5.940415807644869,0.414,0.0
4,2.5,14,0.281,0.7641821086794588,2.4503194656296543,0.7743786622171943,4.306582243021357,0.444,0.0
4,2.875,16,0.339,0.762483881685855,2.4256098061866895,0.7614985124572021,3.96897240288751,0.457,0.0
4,3.25,19,0.39,0.7624279117556803,2.2927674499157646,0.7074337297647101,3.3292994669904163,0.459,0.0
4,3.625,21,0.471,0.7622363009715565,2.31994530342062,0.6454622748606561,3.5464873624514404,0.463,0.0
4,4.0,23,0.529,0.7623830917606607,2.379326518803607,0.6350629853930039,3.3279274276452138,0.454,0.0
4,4.375,25,0.573,0.7622624033856527,2.237902338557981,0.5818608170112136,3.109911406391521,0.457,0.0
4,4.75,27,0.622,0.7621381215724818,2.2406508178253235,0.5829862209612675,3.0272655107862185,0.466,0.0
4,5.125,29,0.661,0.7622167981518432,2.234257960194947,0.5404055371831744,2.8916381083042353,0.447,0.0
4,5.5,31,0.697,0.7621132483657755,2.254110257002167,0.5331490210503045,2.9738309847578113,0.456,0.0
4,5.875,33,0.715,0.7618066818678032,2.2023688577110923,0.522028204832727,2.9125029483613583,0.493,0.0
4,6.25,35,0.763,0.7618169484096448,2.2249405634490964,0.523193433906904,2.7218616412411833,0.486,0.0
4,6.625,37,0.788,0.7619378603931226,2.396312840058907,0.4970809255451988,2.7417423692115968,0.465,0.0
4,7.0,39,0.826,0.7619139440548374,2.0919459656592343,0.46683479755353985,2.7010359773018378,0.473,0.0
4,7.375,41,0.84,0.7618331636302518,2.0831226509509575,0.4717028014675474,2.5929965454144783,0.48,0.0
4,7.75,43,0.854,0.7619646234623332,2.147216966685561,0.4673056187887491,2.60010890411089,0.446,0.0
4,8.125,46,0.885,0.7618840053648221,2.1662023336213254,0.44352816461925326,2.5225998257614064,0.459,0.0
4,8.5,48,0.892,0.7618271840834132,2.094213467093253,0.4344882709842227,2.536013892039039,0.47,0.0
4,8.875,50,0.915,0.7618557416847427,1.9367687944990124,0.4097714276968655,2.472978158066038,0.466,0.0
4,9.25,52,0.901,0.7618374484465013,2.1127554363257572,0.4301323879876511,2.6294248918413583,0.473,0.0
4,9.625,54,0.93,0.7618134251442541,2.017820820208776,0.39130849547971025,2.496131442857083,0.483,0.0
4,10.0,56,0.928,0.7618528251896732,2.133658479919154,0.4154369149391577,2.448536493650596,0.456,0.0
6,1.0,11,0.002,0.9260917081129989,6.3353865954790916,2.217057702042453,13.941520259156936,0.183,0.0
6,1.375,15,0.016,0.7834074616897053,4.148601834727095,1.4906334441335414,7.140073818358796,0.267,0.0
6,1.75,19,0.051,0.7715459608004682,4.131664807683142,1.2328861939376956,5.819412178278758,0.32,0.0
6,2.125,23,0.103,0.7668193996461805,3.4750541181969146,1.104867939400156,4.791622258766091,0.328,0.0
6,2.5,27,0.164,0.76454542569272,3.4467468609982443,1.0118396707323578,4.351590698772521,0.358,0.0
6,2.875,31,0.21,0.7629953380526731,3.344587635575135,0.881866850977747,3.928169661381054,0.4,0.0
6,3.25,35,0.253,0.7634382652907294,3.5522717420016097,0.8623900573890978,3.774556166254442,0.384,0.0
6,3.625,39,0.342,0.7632618325151725,3.477810887107996,0.8081843926936461,3.6473749863948957,0.382,0.0
6,4.0,44,0.422,0.7624252600789925,3.263387548561665,0.7472253999926994,3.4363872897550154,0.432,0.0
6,4.375,48,0.48,0.7628372709451409,3.2202822147450547,0.7532294207858603,3.3020306682089053,0.391,0.0
6,4.75,52,0.569,0.7623796428691252,3.1138935531043916,0.6945338835202206,3.183256230161691,0.4,0.0
6,5.125,56,0.619,0.7623166098731071,3.0948391045004584,0.6548191845002838,3.1547125253490966,0.402,0.0
6,5.5,60,0.68,0.7620110684628141,2.9051290419944427,0.6105933408297053,3.113569492513248,0.429,0.0
6,5.875,64,0.697,0.7622530571780903,3.093852236951036,0.6346134144208007,3.0664995482736854,0.4,0.0
6,6.25,68,0.751,0.7620120557728279,3.1139263780104853,0.5961411586832951,3.043432352065614,0.432,0.0
6,6.625,72,0.782,0.7622750423506359,3.197739671886251,0.5991934979965948,2.9461103291074404,0.391,0.0
6,7.0,76,0.805,0.7621139259302794,3.3488613531615643,0.58731351245408,2.890160352592171,0.417,0.0
6,7.375,80,0.816,0.7619601541735366,3.055886205513036,0.557499814454615,2.7767489169897317,0.428,0.0
6,7.75,84,0.845,0.7620389064034028,3.165865756519479,0.5579324303688169,2.7996294949900045,0.395,0.0
6,8.125,88,0.847,0.7619796333519275,3.2762220767694132,0.5451507818394602,2.729861843649264,0.427,0.0
6,8.5,92,0.875,0.7619427528847773,3.182803659483416,0.5198740373400154,2.7568557416805843,0.425,0.0
6,8.875,96,0.893,0.7619805322709079,3.0430692104838624,0.49854424399571884,2.7444244482092115,0.417,0.0
6,9.25,100,0.906,0.7619209610939034,3.1724939695434395,0.4936933077325904,2.729524328027621,0.421,0.0
6,9.625,104,0.929,0.7618168273006001,3.178390038860824,0.4910108033463356,2.6432745567424507,0.458,0.0
6,10.0,108,0.952,0.7619009129803544,2.950127877987171,0.4780177666878743,2.6745317502908073,0.431,0.0
8,1.0,17,0.0,0.8637997099150856,8.275010460288602,2.282114119284237,11.768306083573794,0.122,0.0
8,1.375,23,0.003,0.781215984036721,6.569574561589385,1.8278294343642436,7.340228373926922,0.137,0.0
8,1.75,30,0.027,0.7691239023497873,5.672812719877518,1.389449515089615,5.9833004249210155,0.178,0.0
8,2.125,36,0.052,0.7666352256401376,5.434668866785432,1.2370020110957047,5.211973655927379,0.194,0.0
8,2.5,42,0.081,0.7655849647970915,5.481098323869033,1.1826252886512365,4.663488256261388,0.165,0.0
8,2.875,48,0.139,0.7639608225274411,5.01854836906802,0.998967995553171,4.521250902070704,0.197,0.0
8,3.25,55,0.204,0.7636671678386766,5.2395776623170764,0.9751492472590103,4.2076172928977815,0.186,0.0
8,3.625,61,0.284,0.7628353222707742,4.743129958082662,0.8666532318866913,3.9861439810916908,0.205,0.0
8,4.0,67,0.376,0.7625228608427448,4.664680420913109,0.8215626857293714,3.930741823851544,0.216,0.0
8,4.375,73,0.429,0.7628237189678159,4.748865960960778,0.8041171017641,3.816399282649234,0.191,0.0
8,4.75,80,0.522,0.7626844625072693,4.434195764404748,0.7577368937948075,3.613728462126156,0.172,0.0
8,5.125,86,0.549,0.7624402224238848,4.645078299173415,0.7338672991104658,3.5695266557332785,0.205,0.0
8,5.5,92,0.62,0.7623823565304564,4.4920346410108865,0.6916003617849502,3.41968403228323,0.199,0.0
8,5.875,98,0.682,0.7623793552071313,4.350248305244136,0.7011337003160966,3.4642645170262405,0.184,0.0
8,6.25,104,0.713,0.7622130681204131,4.32614236963958,0.6498547687769455,3.425524581644743,0.203,0.0
8,6.625,111,0.76,0.7621418692571735,4.362554451137301,0.6325542755630352,3.33310234089017,0.201,0.0
8,7.0,117,0.762,0.7623174896853068,4.276655164090149,0.6120143871850702,3.317101304585844,0.195,0.0
8,7.375,123,0.803,0.7622017822194347,4.206564006812009,0.6099941205944983,3.29315098551163,0.176,0.0
8,7.75,129,0.843,0.7621169860586685,4.332835027288495,0.5814061605181482,3.1689210043720326,0.195,0.0
8,8.125,136,0.873,0.7620773782406316,4.171299601239403,0.5549404025565994,3.1329346447405624,0.205,0.0
8,8.5,142,0.911,0.7620316164564995,4.033079274329064,0.548095780531165,3.1412996852344603,0.19,0.0
8,8.875,148,0.897,0.7620636168912519,4.198076394416154,0.550495346057996,3.0961094990981546,0.203,0.0
8,9.25,154,0.922,0.7620563524494816,4.2099296492585605,0.5203522489921374,3.0712748531041214,0.187,0.0
8,9.625,161,0.943,0.7619584608817778,4.360412627154301,0.5172348732512373,3.0840013882273576,0.207,0.0
8,10.0,167,0.94,0.7619657756765235,4.173125757999173,0.5102388733718386,3.057171138701416,0.201,0.0
10,1.0,24,0.0,0.821522668940926,22.824358314268746,2.422307098412106,10.925205509625359,0.051,0.0
10,1.375,32,0.003,0.7743190395608415,16.898788234218063,1.8882924997308346,8.205054696478324,0.069,0.0
10,1.75,41,0.01,0.767867127221183,14.646179871855415,1.5878222389770382,6.241097547463129,0.098,0.0
10,2.125,49,0.04,0.7653614321005773,14.891845290551519,1.3593891116386962,5.935223990994825,0.092,0.0
10,2.5,58,0.057,0.7640273874845575,13.226374035720841,1.244622965074642,5.302938501226443,0.099,0.0
10,2.875,67,0.13,0.7632130617887103,13.910914474851166,1.1104977311844875,5.049274133497751,0.085,0.0
10,3.25,75,0.174,0.7630784011778138,13.941192948516264,1.0507826008273171,4.737784280643268,0.079,0.0
10,3.625,84,0.254,0.7629618199415127,13.026669948572696,0.9589630876281813,4.690220734207837,0.101,0.0
10,4.0,93,0.356,0.7626789858398574,13.325854449605817,0.9114262752150418,4.610736233694356,0.063,0.0
10,4.375,101,0.368,0.7624178889896958,13.39014701966613,0.8820864429644821,4.318283616847206,0.082,0.0
10,4.75,110,0.47,0.7623837225332675,12.699041537984826,0.8288547921900483,4.177229182351322,0.09,0.0
10,5.125,119,0.529,0.7624637919530463,13.537975159472733,0.8178133600508649,4.1680527043066755,0.076,0.0
10,5.5,127,0.613,0.7623198285441399,11.762642721867113,0.7745091627616101,4.025823078597396,0.089,0.0
10,5.875,136,0.68,0.7621747414335123,12.267315436683145,0.7151201031291318,3.8913424856866015,0.092,0.0
10,6.25,144,0.706,0.7621270027950708,11.841496908301488,0.7083460015353423,3.799141244316958,0.102,0.0
10,6.625,153,0.748,0.7621627634689255,12.575387938159903,0.6915543280249818,3.8056033000722733,0.085,0.0
10,7.0,162,0.803,0.7621361926170276,12.009870078071142,0.6736871854120294,3.6700564348366562,0.078,0.0
10,7.375,170,0.831,0.7621289516892628,12.523192036190075,0.6561672020132554,3.690186270335159,0.085,0.0
10,7.75,179,0.841,0.7620760663979507,12.47439292311888,0.6284135481404318,3.6094687731873907,0.075,0.0
10,8.125,188,0.892,0.7620199778656435,11.725311587817881,0.6255847130949095,3.555498425328983,0.076,0.0
10,8.5,196,0.876,0.7620841076304801,12.501861495747184,0.6142900126532698,3.543601286914864,0.083,0.0
10,8.875,205,0.911,0.7619649671568942,11.7554881173361,0.609080813187692,3.471019928193125,0.101,0.0
10,9.25,213,0.892,0.761990995574479,11.962556951889827,0.5870795790220908,3.448953592486853,0.077,0.0
10,9.625,222,0.93,0.7619966559418536,12.122590296371335,0.557723995092956,3.398927446553291,0.09,0.0
10,10.0,231,0.949,0.7619481285730786,11.64309174542803,0.5512785382036749,3.425981517196324,0.069,0.0
12,1.0,30,0.0,0.8098912582752729,83.1240329565416,2.7635601445366755,13.513565811985885,0.013,0.0
12,1.375,42,0.001,0.7698139850101828,70.39574838722733,2.1021947950003956,8.214551175690762,0.011,0.0
12,1.75,53,0.005,0.7656347691261086,67.71754715956999,1.72553372170265,6.6925394596136965,0.021,0.0
12,2.125,64,0.025,0.7644922061403692,64.62197661234342,1.452496356501612,6.631113741877864,0.025,0.0
12,2.5,75,0.051,0.7631714405493437,67.70176803168098,1.39918699806852,5.9504299803089,0.027,0.0
12,2.875,86,0.109,0.7628994468138918,63.68446905978834,1.180703494357807,5.229009680459291,0.033,0.0
12,3.25,97,0.17,0.7627151831272848,63.40929637342835,1.1380665293158083,5.132092926291475,0.042,0.0
12,3.625,109,0.231,0.762737092293776,67.73856035922694,1.0686417488463746,4.738808711258104,0.032,0.0
12,4.0,120,0.283,0.7623979022461602,65.7590636576499,1.0094248748164623,4.7398575247399615,0.035,0.0
12,4.375,131,0.363,0.7624036387680498,68.08216315118926,0.9478200004321922,4.594937837596568,0.056,0.0
12,4.75,142,0.46,0.7623405445951559,70.70960563185099,0.8899356237016978,4.349999008858196,0.053,0.0
12,5.125,153,0.499,0.7622517935152247,62.83882419956956,0.8543749067925536,4.2451702940209275,0.058,0.0
12,5.5,165,0.566,0.762212832855925,68.43226805727099,0.8484004013018899,4.197440066963951,0.06,0.0
12,5.875,176,0.65,0.7621778326937193,65.90798369314189,0.8078884960482188,4.266798729410194,0.049,0.0
12,6.25,187,0.696,0.7619987884263373,69.14922862967308,0.7583016035802658,4.011298260642288,0.075,0.0
12,6.625,198,0.739,0.7620754676906415,63.09363968841917,0.7466110579949536,4.009138117402266,0.067,0.0
12,7.0,209,0.754,0.7620030865946936,66.593533896698,0.7437685497988018,4.022519357415276,0.075,0.0
12,7.375,220,0.83,0.76200908023766,65.18210844043787,0.7177657545574521,3.9440781735898565,0.062,0.0
12,7.75,232,0.842,0.7620472930234308,68.27573244504691,0.6841707529860158,3.803773120425581,0.073,0.0
