N,alpha,M,conc_succ_prob,kappa_med,sigma_rel_med,sigma_abs_med,max_w_95per,pos_prob,nan_prob
4,1.0,6,0.015,0.9518756556357589,2.549211238430726,1.5356739888313444,18.552392492402024,0.31,0.0
4,1.375,8,0.039,0.7877735190896379,1.954853775371027,1.1781560967766118,9.265200769371368,0.383,0.0
4,1.75,10,0.106,0.7643746023698306,1.7847975096592679,0.9744608729333362,6.177493301360719,0.47,0.0
4,2.125,12,0.158,0.761763401545523,1.6458473145523225,0.9033609459561788,4.626859690830776,0.519,0.0
4,2.5,14,0.181,0.761763401545523,1.5721616075451943,0.8322329189274706,3.8168179016354222,0.542,0.0
4,2.875,16,0.271,0.761763401545523,1.6083065235364435,0.7939024804861663,3.6047364943780043,0.514,0.0
4,3.25,19,0.315,0.7617634015455229,1.553274483506477,0.6929168123887719,3.216802685067976,0.561,0.0
4,3.625,21,0.391,0.7617634015455229,1.6596038381928149,0.667041355343635,3.0645583314678335,0.542,0.0
4,4.0,23,0.457,0.7617634015455229,1.5661334616306959,0.6485864607541256,2.8617700270830344,0.563,0.0
4,4.375,25,0.487,0.7617634015455229,1.666687413984526,0.6103140040229185,2.8296871071773344,0.569,0.0
4,4.75,27,0.502,0.7617634015455229,1.613987885656646,0.5941866730422676,2.7856078884396913,0.573,0.0
4,5.125,29,0.565,0.761763401545523,1.5867642679406886,0.5659993143476096,2.538232069780831,0.547,0.0
4,5.5,31,0.642,0.7617634015455229,1.6452623860827469,0.5477047569646716,2.5228662038179257,0.586,0.0
4,5.875,33,0.624,0.7617634015455229,1.5918137839120645,0.5277410355644021,2.4341832088620468,0.57,0.0
4,6.25,35,0.675,0.7617634015455229,1.605040630336105,0.5088866601838617,2.429594224711144,0.572,0.0
4,6.625,37,0.682,0.7617634015455229,1.5848132448331356,0.5025107338663024,2.3881246648741934,0.558,0.0
4,7.0,39,0.745,0.761763401545523,1.536644502046967,0.46395110990178307,2.300309093530094,0.556,0.0
4,7.375,41,0.755,0.7617634015455229,1.6057550166553414,0.4644266008740521,2.2944222353490202,0.576,0.0
4,7.75,43,0.787,0.7617634015455229,1.5177510082505687,0.44380143175723796,2.292500649181159,0.582,0.0
4,8.125,46,0.82,0.7617634015455229,1.5231432198419452,0.43731312545129153,2.2619093187969184,0.565,0.0
4,8.5,48,0.803,0.7617634015455229,1.593689591221831,0.44341195340924583,2.2994021090764107,0.58,0.0
4,8.875,50,0.835,0.761763401545523,1.483974115865925,0.43087238907436054,2.1644168138415325,0.572,0.0
4,9.25,52,0.851,0.7617634015455229,1.62026825527995,0.4103825511281805,2.146503617462896,0.563,0.0
4,9.625,54,0.848,0.761763401545523,1.6298538505049667,0.41211825446059114,2.200350656685933,0.557,0.0
4,10.0,56,0.871,0.7617634015455229,1.6343088929673173,0.39440667778146743,2.113635409290069,0.558,0.0
6,1.0,11,0.004,0.8730947592416465,3.239089294878763,1.9318540393768253,13.422576079219237,0.246,0.0
6,1.375,15,0.015,0.7822863968835303,2.733003216125269,1.5122495588078022,7.281314486271053,0.313,0.0
6,1.75,19,0.03,0.7646444484232003,2.3903697761868123,1.160999128416245,4.962515881467364,0.431,0.0
6,2.125,23,0.056,0.7638634079482063,2.280263005403238,1.0547316545840313,4.5816000349026815,0.428,0.0
6,2.5,27,0.097,0.7627596254947739,2.15791346894183,0.9190359188304108,3.721025934671184,0.453,0.0
6,2.875,31,0.154,0.7623734288641013,2.2337868768199622,0.894018244530019,3.5600140359955446,0.458,0.0
6,3.25,35,0.21,0.7618469582853906,2.2614594978705966,0.8329146964064535,3.294748225124192,0.486,0.0
6,3.625,39,0.265,0.7617634014178762,2.1379221938098345,0.7927093090243289,3.1044981446563673,0.517,0.0
6,4.0,44,0.335,0.7617634014178762,2.249615141796567,0.7467160347689565,3.0309571026229243,0.506,0.0
6,4.375,48,0.394,0.7618274616417409,2.2928284084892616,0.691273350906888,2.9473207015259115,0.491,0.0
6,4.75,52,0.469,0.7617634014178762,2.2799976673173794,0.6636501758966167,2.823158049918587,0.52,0.0
6,5.125,56,0.498,0.7617634014178762,2.1996884590171817,0.6210860194573312,2.7129950899265056,0.514,0.0
6,5.5,60,0.572,0.7617634014178762,2.165158815673632,0.5995617274326248,2.7425274340658676,0.505,0.0
6,5.875,64,0.616,0.7617634014178762,2.165002034355655,0.5882886958491156,2.7179112744610583,0.516,0.0
6,6.25,68,0.641,0.7617634014178762,2.125902313533205,0.557367349763056,2.6159510258639567,0.531,0.0
6,6.625,72,0.68,0.7617634014178761,2.0714935239304113,0.5434572329880173,2.5757063862912575,0.549,0.0
6,7.0,76,0.72,0.7617634014178762,2.1104897424674416,0.5359010950279659,2.534646545925476,0.518,0.0
6,7.375,80,0.765,0.7617634014178762,2.0386209774705106,0.5208280866108665,2.4882389220728074,0.522,0.0
6,7.75,84,0.779,0.7617634014178762,2.1898195081218415,0.48926353758128405,2.4557108399751675,0.515,0.0
6,8.125,88,0.812,0.7617634014178765,2.238910127555384,0.5028868548042836,2.5235347051178696,0.505,0.0
6,8.5,92,0.839,0.7617634014178762,2.050057159559131,0.4731323193821361,2.4210447850311656,0.518,0.0
6,8.875,96,0.853,0.7617634014178762,2.0906545240483334,0.4474464145063026,2.4250855668253903,0.52,0.0
6,9.25,100,0.874,0.7617634014178762,2.232616690151337,0.457346319018919,2.4320483325004747,0.515,0.0
6,9.625,104,0.89,0.7617634014178762,2.0406410710250524,0.4455150681903261,2.370414375472376,0.533,0.0
6,10.0,108,0.89,0.7617634014178762,2.1253839461029562,0.4553350579523483,2.381658205484694,0.522,0.0
8,1.0,17,0.0,0.8187849482044995,4.42525039222071,1.9279284170155933,10.358279008319592,0.153,0.0
8,1.375,23,0.003,0.7763061243275595,3.6215286086224063,1.4909338882778558,6.32600782192552,0.217,0.0
8,1.75,30,0.012,0.7651732109164425,3.469918598051338,1.2023279459228067,4.6168850878406875,0.277,0.0
8,2.125,36,0.027,0.7642991451281756,3.357933522814845,1.015462476237829,4.108886733329897,0.264,0.0
8,2.5,42,0.058,0.7629025500155414,3.397285380361383,0.9272565764547407,3.6782623626829425,0.27,0.0
8,2.875,48,0.093,0.7625183331012725,3.417611694145447,0.8529662214387794,3.545936290895173,0.292,0.0
8,3.25,55,0.148,0.7625129512456148,3.1628161820097747,0.8083482794154022,3.1305560482664303,0.264,0.0
8,3.625,61,0.213,0.7622799048045255,3.159079312333323,0.7139967948966293,2.936438948817258,0.322,0.0
8,4.0,67,0.25,0.7622054504827775,3.292337000498179,0.6978858577135624,2.9491220979808217,0.287,0.0
8,4.375,73,0.324,0.7621852659600068,3.057270893938482,0.6623556800429008,2.7289711544899684,0.286,0.0
8,4.75,80,0.398,0.76209936968721,3.216418664886139,0.6271281264849282,2.7837156013477973,0.289,0.0
8,5.125,86,0.466,0.7620221668959926,3.0497009702329008,0.6045336462262785,2.6599242314682647,0.293,0.0
8,5.5,92,0.491,0.761991774430644,2.9198234741686084,0.5628947445208026,2.5452787873418363,0.283,0.0
8,5.875,98,0.562,0.7619833748142774,3.0115306166440226,0.5557741533268006,2.564722733828081,0.291,0.0
8,6.25,104,0.61,0.7619860405911174,3.0095407953461515,0.5348742070725132,2.4497370041276842,0.285,0.0
8,6.625,111,0.633,0.762028690299084,3.1680018251059447,0.5194224227156519,2.45313831982356,0.253,0.0
8,7.0,117,0.67,0.7619237088548496,2.9055392645408564,0.5169224036392179,2.4543647408310965,0.261,0.0
8,7.375,123,0.703,0.7619911826208725,2.918721126172623,0.5222776866107894,2.431921580619388,0.274,0.0
8,7.75,129,0.745,0.7619994499798065,3.067774986530271,0.4887289172357543,2.4011581967029154,0.255,0.0
8,8.125,136,0.768,0.7619348844235634,2.9856963305935773,0.45717142647291387,2.343813424432223,0.287,0.0
8,8.5,142,0.791,0.7619242895063778,3.020972760806301,0.46507174133826645,2.3254976542384633,0.265,0.0
8,8.875,148,0.821,0.7618863207505423,3.003838303781289,0.45188828334834874,2.2974692985226204,0.3,0.0
8,9.25,154,0.851,0.7618941096725753,2.8648578222810688,0.4299203323066312,2.287758490235629,0.266,0.0
8,9.625,161,0.861,0.7618501483217635,2.867971917900663,0.41478244092204486,2.2313244022695202,0.288,0.0
8,10.0,167,0.879,0.7618673527341113,2.886811072460014,0.41701324811726836,2.262664450078624,0.265,0.0
10,1.0,24,0.0,0.7985647421187643,8.11330960914634,2.025340228909436,10.94919011738233,0.092,0.0
10,1.375,32,0.001,0.7705317192086547,7.52362781858953,1.5598817817699349,5.956872736980608,0.117,0.0
10,1.75,41,0.007,0.7638255664835787,7.333020674415749,1.2112705716752588,4.588671595336596,0.153,0.0
10,2.125,49,0.025,0.762973886841465,7.157807771416173,1.0212066286452468,4.106082381610808,0.17,0.0
10,2.5,58,0.034,0.7627274812310834,7.089278382461207,0.9690423737171593,3.8157558309405486,0.154,0.0
10,2.875,67,0.07,0.7621687112098319,7.431651623674806,0.8572593226783674,3.396489580126401,0.187,0.0
10,3.25,75,0.106,0.7622272619514441,7.300276450962313,0.8157561980398708,3.2252008904718172,0.178,0.0
10,3.625,84,0.163,0.7620754959058432,7.033057999877665,0.7308144801071635,3.17911882327249,0.166,0.0
10,4.0,93,0.197,0.76211523977604,7.499829622723643,0.7019255367656472,3.0492676739555917,0.141,0.0
10,4.375,101,0.248,0.7620946760804228,7.663292148662499,0.6512621999826914,2.9583358169581935,0.158,0.0
10,4.75,110,0.321,0.7620112240120687,7.429072889119777,0.6506849058892108,2.8161905757514294,0.169,0.0
10,5.125,119,0.362,0.7620372977672465,7.839106213146227,0.6274948735807118,2.6816235956375145,0.149,0.0
10,5.5,127,0.436,0.761952387232065,7.636612541908838,0.5857134939061772,2.66035504737602,0.189,0.0
10,5.875,136,0.503,0.761942154390461,7.790315105515891,0.5606751780982264,2.6196607295166063,0.137,0.0
10,6.25,144,0.529,0.7619137687802361,7.316958452491782,0.5453765887375073,2.5174866319992346,0.156,0.0
10,6.625,153,0.575,0.7619297810866741,7.811123235787775,0.506752336752441,2.497794409916673,0.137,0.0
10,7.0,162,0.614,0.7618995907958712,7.59793278016545,0.5091226856927334,2.45527604525046,0.156,0.0
10,7.375,170,0.653,0.7618772313604817,7.93759757152016,0.4900525434165246,2.4495104322048658,0.151,0.0
10,7.75,179,0.704,0.7619068334664244,7.437818602623239,0.4776281354407349,2.4343257084888266,0.134,0.0
10,8.125,188,0.719,0.7618777127747793,7.797040322373537,0.46105363510627256,2.411671739944665,0.135,0.0
10,8.5,196,0.774,0.7618501077439686,7.664066029886262,0.45593387105497685,2.3787252157237466,0.157,0.0
10,8.875,205,0.787,0.7618618065547649,7.411888797792365,0.44786707353232036,2.4027386230781946,0.142,0.0
10,9.25,213,0.805,0.761858040170876,7.302943235000933,0.4205012009841043,2.3434926538592866,0.128,0.0
10,9.625,222,0.8,0.7618724632749457,8.057790544200403,0.41687750819649183,2.3839100475021002,0.147,0.0
10,10.0,231,0.865,0.7618384952715441,7.295513656205618,0.4085255854004435,2.3066832516116653,0.155,0.0
12,1.0,30,0.0,0.7910770734421926,26.928369938338427,2.153719993214508,10.027507552469944,0.037,0.0
12,1.375,42,0.001,0.7671199248242171,27.328714107474752,1.5588695708535558,5.8231708279721435,0.05,0.0
12,1.75,53,0.003,0.7631776938197532,26.302410763202545,1.2581323635873294,4.599756429538363,0.064,0.0
12,2.125,64,0.007,0.7624667251065342,28.823616899085387,1.084684279719777,4.156580814139464,0.044,0.0
12,2.5,75,0.019,0.7623993089590029,29.517550377649787,0.9360583465590528,3.7770454267818367,0.055,0.0
12,2.875,86,0.053,0.7621354695756142,31.95076566514227,0.8437038586951844,3.534286346195404,0.068,0.0
12,3.25,97,0.067,0.7620531367096921,33.4137902679239,0.813306723900328,3.353636942332814,0.075,0.0
12,3.625,109,0.122,0.7619649459581922,34.03074140818812,0.7744529190859686,3.2667611629594737,0.084,0.0
12,4.0,120,0.153,0.7619695809790155,32.32927594842109,0.7214479902381612,2.9860572013139164,0.096,0.0
12,4.375,131,0.209,0.7619102641190438,33.03627777438447,0.6849402416688829,2.9045986877832686,0.092,0.0
12,4.75,142,0.268,0.7618772620712335,29.754616549643966,0.6328666911404803,2.8775401571362673,0.106,0.0
12,5.125,153,0.291,0.7618921586629261,35.013275219944816,0.6175279813372817,2.7731305128599306,0.08,0.0
12,5.5,165,0.389,0.7619010739716612,31.381477384501466,0.5868235677052764,2.7501369495524304,0.092,0.0
12,5.875,176,0.428,0.761867060206681,35.49486514250864,0.5613922447970482,2.6577746491666283,0.091,0.0
12,6.25,187,0.491,0.7618507432938394,35.35175731402725,0.5497718310294609,2.6386779016774637,0.104,0.0
12,6.625,198,0.566,0.7618318395322016,34.86217930915957,0.5347036583678042,2.5748933519176482,0.095,0.0
12,7.0,209,0.583,0.7618326826251677,37.67717203867002,0.5237150344039996,2.5126973486274506,0.132,0.0
12,7.375,220,0.596,0.761856524341449,38.796702172972154,0.5096088769035212,2.546390995777906,0.095,0.0
12,7.75,232,0.646,0.7618196163639049,37.92096107283591,0.49174791771147597,2.5312405334373294,0.099,0.0
12,8.125,243,0.696,0.7618095358259305,34.14427127353836,0.4637991430977258,2.494654663291047,0.102,0.0
12,8.5,254,0.741,0.761821647331089,35.557287891481316,0.46107397226437685,2.422252471020364,0.107,0.0
12,8.875,265,0.75,0.7618101902580733,38.51214758720262,0.4595257949983968,2.39341471582536,0.105,0.0
12,9.25,276,0.776,0.7618132432513463,35.935453453863474,0.42960216864285705,2.3954650003265634,0.1,0.0
12,9.625,288,0.785,0.7618075915640787,38.15104257888871,0.4270823433001154,2.3536229809826352,0.103,0.0
12,10.0,299,0.781,0.7618079795512476,37.255190729880425,0.4301966922725541,2.3941886212439805,0.121,0.0
14,1.0,37,0.0,0.7847231409854103,113.56824533582058,2.2992154398047444,10.724363036292054,0.011,0.0
14,1.375,51,0.0,0.7642544898612356,107.54113216219608,1.522646064862514,5.727552262235925,0.012,0.0
14,1.75,65,0.002,0.762975185439426,146.59913899083517,1.2697806721030065,5.028074145736355,0.014,0.0
14,2.125,79,0.008,0.7623556246277873,145.52888262608678,1.0300430527514641,4.229762713442327,0.013,0.0
14,2.5,93,0.014,0.7621212913672972,145.48862432057015,0.9420868545871413,3.9296724912355896,0.018,0.0
14,2.875,107,0.035,0.7620506810883891,156.46379801010323,0.8838660017212118,3.59800792246616,0.014,0.0
14,3.25,121,0.054,0.7619208465616759,159.9813739318036,0.7869909558408885,3.3776473832519347,0.013,0.0
14,3.625,134,0.089,0.7619179845575285,171.5660145752381,0.7761120277610336,3.245015025441152,0.023,0.0
14,4.0,148,0.134,0.7619383611130913,160.089311461447,0.6994360403622732,3.116882355016488,0.017,0.0
14,4.375,162,0.163,0.7619080231159724,183.4570565803912,0.7009227905618048,3.051349403625511,0.011,0.0
14,4.75,176,0.225,0.761848228332049,190.29272157566186,0.6540975172807162,2.8850770297874817,0.01,0.0
14,5.125,190,0.283,0.761833300697099,188.15044150783245,0.6253390877136759,2.7810820385681723,0.014,0.0
14,5.5,204,0.328,0.7618453962498025,189.69261485373863,0.5897112945394002,2.818949138519984,0.01,0.0
14,5.875,218,0.385,0.7618378212159005,188.39542532549237,0.5877103895078353,2.738520514098321,0.012,0.0
14,6.25,231,0.423,0.7618406029755853,197.9940743206567,0.570436875276686,2.730969461982376,0.023,0.0
14,6.625,245,0.499,0.7618334370713775,206.84364677204712,0.5422382609617118,2.6287999188231423,0.017,0.0
14,7.0,259,0.491,0.7618279747468861,192.9176206542641,0.540334108628122,2.6178651157430015,0.017,0.0
14,7.375,273,0.589,0.7617978862463045,196.38964655137954,0.5068855151331795,2.58312939214243,0.023,0.0
14,7.75,287,0.584,0.7618144140403809,190.31092874170054,0.4852448549536164,2.538136787660586,0.028,0.0
14,8.125,301,0.623,0.7618201527739064,204.96523778190115,0.4875829702539648,2.486107751981629,0.02,0.0
14,8.5,315,0.673,0.7618028259035163,194.46210677646076,0.46497547823309143,2.4727689515934266,0.028,0.0
14,8.875,328,0.711,0.7617972717825061,209.29262155871302,0.4500016263810086,2.451414813974543,0.027,0.0
14,9.25,342,0.737,0.761799621688648,224.8873265310561,0.4535632085686312,2.413497866417275,0.021,0.0
14,9.625,356,0.77,0.7617960336239508,207.0191172454365,0.4394174361777329,2.374521576770536,0.029,0.0
14,10.0,370,0.777,0.7617896380183093,207.6011873572195,0.4298520798318337,2.420419448468141,0.025,0.0
16,1.0,45,0.0,0.7751524881994666,577.4054895824536,2.0598760845723794,9.107507494435204,0.002,0.0
16,1.375,61,0.0,0.7644965257085572,667.477700746628,1.5057217533225615,6.041576585498139,0.006,0.0
16,1.75,78,0.0,0.7625611470890772,689.1153229114062,1.2455154933906116,4.890475751484153,0.003,0.0
16,2.125,95,0.001,0.7621531836085963,805.9776900307181,1.0892373507852398,4.263733657476238,0.0,0.0
16,2.5,111,0.007,0.7619947242193138,812.8794467077139,0.9884236630634148,3.8349656340013656,0.0,0.0
16,2.875,128,0.014,0.7619395527153655,826.7900145977817,0.8945840557849675,3.523430417511273,0.0,0.0
16,3.25,145,0.041,0.7619115731488106,867.5006263280625,0.789223314496039,3.274265459003453,0.002,0.0
16,3.625,161,0.051,0.7618641174157204,1008.9600798007964,0.7647211510709837,3.2645510256479278,0.001,0.0
16,4.0,178,0.083,0.761858995424884,928.0143338177483,0.7186134758224318,3.152513471168183,0.002,0.0
16,4.375,195,0.138,0.7618431874851496,1010.845051213094,0.6994512442014864,3.00091930815727,0.0,0.0
16,4.75,211,0.178,0.7618163693315727,987.5890580563623,0.6604105184748531,2.932393945279703,0.002,0.0
16,5.125,228,0.216,0.7618260815620232,1080.5969751786797,0.6121257547929115,2.899008823121801,0.0,0.0
16,5.5,244,0.305,0.7618231479555679,1113.850313041958,0.5889255172726171,2.765598752858064,0.0,0.0
16,5.875,261,0.364,0.761817389496692,1117.4316869972968,0.5718331964818946,2.8015279639283714,0.002,0.0
16,6.25,278,0.364,0.7617942094786787,1310.0153388624708,0.556066788140245,2.701437343923755,0.002,0.0
16,6.625,294,0.422,0.7618042608807406,1270.431184165625,0.5352119480507749,2.708320028045569,0.0,0.0
16,7.0,311,0.475,0.7618019049829312,1130.326055072374,0.537795202196904,2.6361846347355335,0.0,0.0
16,7.375,328,0.515,0.7617960101656804,1133.368258761593,0.5129994304063694,2.6064437356290244,0.0,0.0
16,7.75,344,0.569,0.7617936845724853,1268.4707642953924,0.4863032622566017,2.5662861183197223,0.001,0.0
16,8.125,361,0.579,0.7617876464805569,1183.7648904447851,0.494608589515405,2.5638031456869563,0.003,0.0
16,8.5,378,0.61,0.7617837527425979,1187.3566166450823,0.4699857354446565,2.5465964292353767,0.001,0.0
16,8.875,394,0.686,0.7617828993780342,1295.3410697492213,0.4642239245259083,2.50251311014654,0.002,0.0
16,9.25,411,0.67,0.761791155348845,1263.198782135003,0.4500427285882862,2.4614878373032725,0.003,0.0
16,9.625,427,0.714,0.76178212158999,1352.7101389615038,0.43460160022238825,2.4393514893854347,0.0,0.0
16,10.0,444,0.746,0.7617843321094887,1281.220464636796,0.4335006633525075,2.437210279606227,0.001,0.0
18,1.0,53,0.0,0.7695263021233487,2718.35924031385,2.0171809265332366,8.153541202006819,0.001,0.0
18,1.375,72,0.0,0.7632799205743318,3156.4155623763477,1.503919240528415,6.017059489458761,0.0,0.0
18,1.75,92,0.0,0.7624025272287324,3768.757665006754,1.2306557235088766,4.687319219679933,0.0,0.0
