N,alpha,M,conc_succ_prob,kappa_med,sigma_rel_med,sigma_abs_med,max_w_95per,pos_prob,nan_prob
4,1.0,6,0.002,2.1137097504046505,11.323903885964182,4.041590197153612,21.54080805107826,0.097,0.0
4,1.375,8,0.005,1.1839666355981484,5.192821046103209,2.2917122516803823,12.163653221373233,0.159,0.0
4,1.75,10,0.01,0.9721739650167687,4.132511120615815,2.0205094746294647,7.245030572415235,0.198,0.0
4,2.125,12,0.026,0.9020382860919126,3.6883533324897986,1.8135802501617664,6.434057759550623,0.231,0.0
4,2.5,14,0.025,0.8678936735446562,3.329459687411341,1.7497092678764092,6.229779545343607,0.238,0.0
4,2.875,16,0.037,0.8256373975178375,2.993061146657676,1.5886552954292616,5.5642224361787,0.277,0.0
4,3.25,19,0.075,0.8015612494601014,2.7021099747718056,1.436234850885842,5.202130932846649,0.29,0.0
4,3.625,21,0.085,0.7954233555758619,2.696615891955209,1.4099078903196038,5.341712581323265,0.301,0.0
4,4.0,23,0.104,0.7873779564503938,2.5575608958671032,1.3555755891119472,4.8595594651588785,0.321,0.0
4,4.375,25,0.125,0.7811983828482683,2.5169847366370246,1.250246581429427,4.617658030672273,0.337,0.0
4,4.75,27,0.115,0.7800040918385525,2.5424532619950595,1.2755812915651839,5.0211704529576675,0.355,0.0
4,5.125,29,0.161,0.7755493836763641,2.456215313470877,1.193499863549625,4.798465247270796,0.357,0.0
4,5.5,31,0.163,0.7756072086912139,2.3536248756820117,1.1866772638407173,4.650077539475736,0.343,0.0
4,5.875,33,0.167,0.7704139736758769,2.4026561216925133,1.1156705328678127,4.5549710664878145,0.374,0.0
4,6.25,35,0.198,0.769379016406968,2.281723078913404,1.12367260843034,4.61187473776353,0.374,0.0
4,6.625,37,0.218,0.7678867567254355,2.335263017434275,1.1046707047768525,4.497600473122462,0.407,0.0
4,7.0,39,0.226,0.7700723137866035,2.489090479234622,1.0866309528496352,4.598107377728802,0.359,0.0
4,7.375,41,0.232,0.7676787906037089,2.2809940235766213,1.0272176639135382,4.4039269549750575,0.364,0.0
4,7.75,43,0.246,0.7689222011697934,2.4159565774125404,1.099894682735619,4.55668021250903,0.357,0.0
4,8.125,46,0.295,0.7665941899885617,2.3585281308302717,1.069362271531491,4.363368519917566,0.393,0.0
4,8.5,48,0.293,0.7660719043108299,2.303737821430067,1.0247089585122058,4.310041243812069,0.393,0.0
4,8.875,50,0.309,0.7655381737901931,2.2449508746258555,0.9867018879228198,4.307132307042882,0.397,0.0
4,9.25,52,0.316,0.7667708344680337,2.3392860018037274,0.990059395152181,4.392420851850774,0.381,0.0
4,9.625,54,0.35,0.7650639089410147,2.3204272745569403,0.9444320561721911,4.17549237388978,0.387,0.0
4,10.0,56,0.338,0.7660541531212481,2.3683114190579233,0.9937342164409138,4.389951415979632,0.385,0.0
6,1.0,11,0.0,2.589690727612655,16.03029604964519,5.948116604504157,30.035873053431978,0.028,0.0
6,1.375,15,0.0,1.9234982807073344,12.655118363967954,4.215598225586119,16.375742656608114,0.057,0.0
6,1.75,19,0.0,1.543043242739611,11.496795082945816,3.6939284252514755,11.218681181810235,0.087,0.0
6,2.125,23,0.0,1.2529746397128174,10.8569483007488,3.3430428547420714,9.331062470145584,0.135,0.0
6,2.5,27,0.0,1.040829772685478,9.578478429106408,3.0266592628562563,8.972390536352144,0.149,0.0
6,2.875,31,0.001,0.9615687529722983,9.088563401059648,2.8695404813533782,8.50221364617689,0.177,0.0
6,3.25,35,0.001,0.9161572438063494,9.42163310552091,2.8710937937378356,8.222242460955522,0.197,0.0
6,3.625,39,0.004,0.866883005763009,8.453135982719093,2.8856831316872826,8.206762608162762,0.226,0.0
6,4.0,44,0.005,0.8217930111923115,8.613458186357377,2.624910133194204,8.299578329517242,0.237,0.0
6,4.375,48,0.004,0.8224910358944371,8.492146297405787,2.7531721112809273,8.070228858872582,0.232,0.0
6,4.75,52,0.012,0.7938194319185798,7.261470486554128,2.5553023216206308,7.73609129336481,0.288,0.0
6,5.125,56,0.012,0.7953634143909137,7.7180791273829294,2.5767910215762835,7.750260102677075,0.282,0.0
6,5.5,60,0.011,0.7778144673428027,6.574128423100303,2.370085441749013,7.441244091236178,0.317,0.0
6,5.875,64,0.022,0.7771511702506074,7.677240439803992,2.5176738805535215,7.528936832027589,0.333,0.0
6,6.25,68,0.025,0.7739941880841101,7.467151971843201,2.4760849299977297,7.869844701639728,0.338,0.0
6,6.625,72,0.028,0.7695247690714433,6.4162932195149,2.468807425598813,7.772933393546325,0.362,0.0
6,7.0,76,0.029,0.7664986988801142,6.297836764920944,2.3190639446992787,7.281762304242738,0.386,0.0
6,7.375,80,0.03,0.7654649333070926,6.235553678423063,2.338445738626127,7.4225684093954465,0.397,0.0
6,7.75,84,0.044,0.7666102531655694,6.004874716582197,2.3156703652377373,7.4152083639639645,0.389,0.0
6,8.125,88,0.047,0.7645520303059556,6.505097506134736,2.2452167869437107,7.341661247133085,0.418,0.0
6,8.5,92,0.055,0.7641257894432981,6.664006633151006,2.260990242894585,7.619112171155067,0.417,0.0
6,8.875,96,0.058,0.7631189578964522,5.991780168660252,2.2186711496353304,7.372166506456549,0.443,0.0
6,9.25,100,0.058,0.7634719613346318,6.476782848823948,2.3389268492776534,7.39201925079581,0.442,0.0
6,9.625,104,0.059,0.7620941167950589,5.844759274866229,2.167169606809006,7.236902909121818,0.478,0.0
6,10.0,108,0.068,0.7620685167501879,6.0201585784089495,2.231958341865497,7.259750643747145,0.483,0.0
8,1.0,17,0.0,8.777034926161512,63.177184029453215,24.580272890449407,281.5554178899144,0.007,0.0
8,1.375,23,0.0,3.7949001377849365,26.57115620237078,12.931382257810476,111.81662976012488,0.01,0.0
8,1.75,30,0.0,2.5727173709704756,16.916440675343495,10.974660036484666,67.33916849905273,0.018,0.0
8,2.125,36,0.0,1.9682588350810293,11.283993100943952,9.00687921415532,56.70049269586976,0.028,0.0
8,2.5,42,0.0,1.6127108249458129,9.819842981860624,8.30400521524102,42.432946889352294,0.024,0.0
8,2.875,48,0.0,1.3048764976170895,8.346638992716063,7.556957255916009,38.71224113273277,0.04,0.0
8,3.25,55,0.0,1.135810335494547,7.521193377792514,6.86146982278355,33.59396596456902,0.051,0.0
8,3.625,61,0.0,1.0127772319295096,6.439709202694832,6.315969834749034,28.36967429368673,0.046,0.0
8,4.0,67,0.0,0.9434795749524997,6.713885438106848,6.2197417329577025,28.516854758632913,0.042,0.0
8,4.375,73,0.0,0.8682764425002196,6.045556714233727,5.44885515068513,26.483826333263735,0.049,0.0
8,4.75,80,0.0,0.8553660363713778,5.893780799785821,5.582446174497388,25.987582629824256,0.056,0.0
8,5.125,86,0.0,0.8103101631085343,5.477024440216374,5.08514494740321,22.620020284712147,0.057,0.0
